Model,Type,Accuracy,F1,Precision,Recall,ROC-AUC,PR-AUC,AUC,Precision@K
RandomForest,Supervised,0.771513484740951,0.7552620325937188,0.9676162649135622,0.6193407620977168,0.969916241339971,0.9734570129087783,0.969916241339971,0.9995563442768411
XGBoost,Supervised,0.8276259758694109,0.8262696709585121,0.9691662296801259,0.7200966258863867,0.9729972404468409,0.9759408562737748,0.9729972404468409,1.0
IsolationForest,Unsupervised,0.5294091554293825,0.29681182474978457,0.9933451641526175,0.17447206420946,0.9401682159167333,0.953836114262124,0.9401682159167333,0.9933451641526175
OneClassSVM,Unsupervised,0.5177874378992193,0.27944588055942204,0.935226264418811,0.16426400685732098,0.8605389515270762,0.8736640798094326,0.8605389515270762,0.935226264418811
LocalOutlierFactor,Unsupervised,0.5125532292405962,0.27162457745078544,0.90905057675244,0.15966648484376217,0.8656635264561554,0.8340129678242996,0.8656635264561554,0.90905057675244
Hybrid IDS,Supervised,0.8355216465578424,0.8355799929052855,0.9694413005453236,0.7342008883347619,0.9667378471360863,0.97149864020672,0.9667378471360863,1.0
