,0
src_bytes,0.14785182413634215
dst_bytes,0.13808235822065626
dst_host_srv_count,0.06442721362612176
dst_host_diff_srv_rate,0.06303223844761466
dst_host_same_srv_rate,0.061241588607633166
dst_host_rerror_rate,0.06019343614466669
service,0.056185045942676363
flag,0.04649023655807968
duration,0.03781505558463642
dst_host_srv_rerror_rate,0.034859158112910515
logged_in,0.03375870457265561
protocol_type,0.03039196706802865
dst_host_same_src_port_rate,0.028969973750696456
srv_count,0.02822538032967901
count,0.018361484385491005
dst_host_count,0.018271702335320984
dst_host_srv_diff_host_rate,0.016864709227592766
same_srv_rate,0.015349449706183052
hot,0.014604736641375151
diff_srv_rate,0.013300234106274369
srv_rerror_rate,0.011706278861364456
srv_diff_host_rate,0.010316097354064092
rerror_rate,0.008494630004288795
dst_host_srv_serror_rate,0.008161622931979938
serror_rate,0.0069235908661410325
dst_host_serror_rate,0.005661170215808202
num_failed_logins,0.00480982864838692
num_compromised,0.0046316625611005705
srv_serror_rate,0.00390357433140207
is_guest_login,0.0034633291873184765
wrong_fragment,0.0011267707148798786
num_root,0.0007837411076291908
root_shell,0.0005414573539344436
num_file_creations,0.0004426089312513253
num_access_files,0.0003475513218825613
num_shells,0.00018818349835678184
is_host_login,0.00010923489497937913
urgent,6.730665562723993e-05
su_attempted,3.8215293632444164e-05
land,6.6477613375269036e-06
