,0
dst_host_srv_count,0.5933441115396368
dst_host_same_srv_rate,0.5755256298794313
logged_in,0.5511588580488713
same_srv_rate,0.510634072217731
dst_host_rerror_rate,0.4881870052109028
rerror_rate,0.48108019774079486
srv_rerror_rate,0.4745468180146584
dst_host_srv_rerror_rate,0.4726451446607169
dst_host_count,0.35177773224908676
dst_host_srv_serror_rate,0.3002548926292896
dst_host_serror_rate,0.29877078494835485
serror_rate,0.2937628062629398
srv_serror_rate,0.29314335043086465
count,0.2811915348547356
diff_srv_rate,0.25865713530006407
dst_host_diff_srv_rate,0.2537781483989773
is_guest_login,0.12510034013818427
num_failed_logins,0.11870934955543187
duration,0.10620098679104419
srv_count,0.09471281622898646
dst_bytes,0.08646590131623194
srv_diff_host_rate,0.0801559176431359
hot,0.050605107068082314
dst_host_same_src_port_rate,0.030110629683938833
wrong_fragment,0.02773881802472034
num_access_files,0.027125879990753804
num_shells,0.020895334231472325
is_host_login,0.019220058896648476
urgent,0.0169275442310943
land,0.015330942245887515
dst_host_srv_diff_host_rate,0.014654203835114323
src_bytes,0.014471308313004975
root_shell,0.010334944955148058
su_attempted,0.010274315634894464
num_root,0.009652385825925454
num_compromised,0.008301285309056054
num_file_creations,0.0027979941186117
